Opponent,Player,Zone,Foot,Assist,Marking,Result,Zone,Foot,Assist
Oldham,Diagouraga,3,S,D,0,G,1,S - Strong,O - open play
Oldham,Carey,4,S,O,1,G,2,W - Weak,S - set piece
Oldham,OP,2,S,S,2,O,3,H - Head,F - free kick shot
Oldham,OP,6,S,O,2,S,4,O - Other,C - counter
Oldham,Bradley,3,H,S,4,O,5,,P - penalty
Oldham,OP,3,H,S,3,O,6,Marking,D - dribble
Oldham,Songo'o,2,H,S,2,O,7,0 - open goal,R - rebound
Oldham,Bradley,3,H,S,2,O,8,1 - unmarked,
Oldham,Taylor,3,H,O,3,O,,2 - loose,Result
Oldham,OP,6,H,S,2,S,,3 - man,G - Goal
Oldham,Carey,4,S,O,2,O,,4 - double,W - Woodwork
Oldham,OP,3,H,S,4,G,,5 - surrounded ,S - Saved
Oldham,Edwards,3,H,S,4,G,,,O - Off target
Oldham,Carey,6,S,O,2,O,,,B - Blocked
Oldham,OP,3,S,O,1,S,,,
Oldham,OP,1,W,O,1,O,,,
Oldham,Jervis,6,W,O,1,G,,,
Oldham,OP,2,H,O,1,O,,,
Oldham,OP,6,S,O,2,S,,,
Oldham,OP,3,W,O,2,O,,,
MK Dons,OP,6,W,O,2,O,,,
MK Dons,OP,3,H,S,3,O,,,
MK Dons,OP,6,S,O,2,O,,,
MK Dons,OP,6,S,C,2,O,,,
MK Dons,OP,2,H,S,4,O,,,
MK Dons,OP,6,W,O,2,S,,,
MK Dons,Carey,6,S,O,2,S,,,
MK Dons,OP,2,W,D,3,O,,,
MK Dons,Carey,6,S,F,2,S,,,
MK Dons,Taylor,2,S,O,3,O,,,
MK Dons,Carey,7,S,C,2,O,,,
MK Dons,OP,6,W,S,2,O,,,
MK Dons,Taylor,3,S,C,2,O,,,
MK Dons,Taylor,6,S,O,2,S,,,
MK Dons,OP,6,S,S,2,O,,,
MK Dons,Jervis,5,S,O,2,S,,,
MK Dons,OP,5,W,O,2,S,,,
Blackpool,OP,6,S,O,2,O,,,
Blackpool,OP,3,H,O,2,O,,,
Blackpool,OP,6,S,O,2,S,,,
Blackpool,OP,3,W,D,2,O,,,
Blackpool,Lameiras,4,S,O,2,G,,,
Blackpool,OP,6,S,O,2,S,,,
Blackpool,Carey,6,S,F,2,O,,,
Blackpool,Carey,4,S,O,2,G,,,
Blackpool,OP,4,S,O,3,S,,,
Blackpool,OP,6,W,S,2,G,,,
Blackpool,OP,6,S,S,2,O,,,
Blackpool,Grant,4,W,O,1,O,,,
Blackpool,OP,6,S,O,2,O,,,
Blackpool,Carey,6,S,O,2,O,,,
Blackpool,OP,4,S,O,2,O,,,
Blackpool,OP,6,S,F,2,O,,,
Blackpool,OP,3,H,O,3,S,,,
Blackpool,OP,3,S,O,3,G,,,
Blackpool,Fox,3,H,O,2,W,,,
Bury,Sarcevic,1,H,O,3,O,,,
Bury,Sarcevic,2,S,O,1,O,,,
Bury,OP,4,S,R,2,S,,,
Bury,OP,4,S,S,2,W,,,
Bury,Diagouraga,3,H,S,1,G,,,
Bury,Sarcevic,6,S,O,2,O,,,
Bury,OP,5,W,O,2,O,,,
Bury,OP,4,W,O,2,O,,,
Bury,OP,6,S,O,2,S,,,
Bury,Carey,3,S,P,1,S,,,
Bury,Carey,3,W,R,1,G,,,
Bury,Taylor,4,S,O,2,O,,,
Bury,Sarcevic,6,S,O,2,O,,,
Bury,Diagouraga,3,S,C,3,S,,,
Bury,Lameiras,6,S,O,2,S,,,
Bury,Sawyer,4,S,R,2,S,,,
Bury,Fox,6,S,O,2,O,,,
Bury,Diagouraga,3,H,S,1,S,,,
Bury,Sarcevic,2,W,S,2,G,,,
Bury,Sarcevic,3,S,C,2,O,,,
Bury,Carey,5,S,C,1,W,,,
Bury,Wylde,6,S,O,2,O,,,
Walsall,Carey,6,S,F,2,S,,,
Walsall,Edwards,3,H,S,3,O,,,
Walsall,Edwards,3,H,S,3,S,,,
Walsall,OP,3,S,O,5,S,,,
Walsall,Carey,6,S,O,3,O,,,
Walsall,OP,8,S,O,2,O,,,
Walsall,OP,3,H,O,1,S,,,
Walsall,OP,6,S,S,2,O,,,
Walsall,OP,2,H,S,4,S,,,
Walsall,OP,8,S,S,2,S,,,
Walsall,Carey,4,W,O,2,O,,,
Walsall,OP,4,S,O,3,O,,,
Walsall,Taylor,3,H,S,4,S,,,
Walsall,Carey,6,S,F,2,S,,,
Walsall,OP,6,S,O,2,S,,,
Walsall,Lameiras,6,S,O,2,S,,,
Walsall,OP,4,S,O,2,S,,,
Walsall,Bradley,6,S,O,2,O,,,
Walsall,Carey,6,S,O,2,S,,,
Walsall,Taylor,6,S,O,2,G,,,
Walsall,OP,5,W,D,3,S,,,
Walsall,Lameiras,6,S,O,2,O,,,
Walsall,Taylor,6,S,O,2,O,,,
Walsall,Lameiras,6,S,O,2,O,,,
Walsall,Fox,6,S,O,2,S,,,
Doncaster,OP,6,S,O,2,O,,,
Doncaster,OP,4,S,O,2,S,,,
Doncaster,Taylor,3,S,O,4,O,,,
Doncaster,OP,3,S,C,1,S,,,
Doncaster,OP,4,S,O,2,S,,,
Doncaster,Ness,3,W,O,2,O,,,
Doncaster,Lameiras,4,S,O,2,O,,,
Doncaster,OP,3,S,O,3,G,,,
Doncaster,OP,5,W,O,3,S,,,
Doncaster,Sawyer,6,S,O,3,O,,,
Doncaster,Bradley,2,H,S,3,S,,,
Doncaster,Sarcevic,1,H,O,3,O,,,
Doncaster,Taylor,4,S,O,3,O,,,
Doncaster,Edwards,2,S,S,1,G,,,
Doncaster,Sarcevic,2,W,O,5,O,,,
Doncaster,Sarcevic,3,S,C,2,S,,,
Doncaster,Sarcevic,3,S,O,2,O,,,
Wigan,OP,5,W,C,1,S,,,
Wigan,OP,6,S,O,2,O,,,
Wigan,OP,2,H,S,2,O,,,
Wigan,Carey,3,S,P,1,G,,,
Wigan,OP,1,S,O,1,G,,,
Wigan,Fox,6,W,S,2,O,,,
Wigan,Ness,6,S,O,2,O,,,
Wigan,OP,3,S,O,2,S,,,
Wigan,OP,3,S,C,1,G,,,
Wigan,Carey,6,S,F,2,S,,,
Wigan,Sarcevic,5,S,S,2,S,,,
Wigan,Sarcevic,6,S,O,3,O,,,
Wigan,OP,3,H,S,4,G,,,
Wigan,Fox,6,W,S,3,O,,,
Wigan,OP,8,S,F,2,O,,,
Wigan,Church,3,H,O,4,O,,,
Wigan,Carey,6,S,O,2,O,,,
Oldham,Sarcevic,3,S,O,2,G,,,
Oldham,Carey,4,S,O,3,S,,,
Oldham,Lameiras,1,W,R,1,G,,,
Oldham,Bradley,4,H,S,3,O,,,
Oldham,OP,5,W,D,3,S,,,
Oldham,OP,3,S,O,2,O,,,
Oldham,OP,6,S,O,2,O,,,
Oldham,OP,1,H,S,5,S,,,
Oldham,OP,2,H,O,3,O,,,
Oldham,OP,6,S,O,2,O,,,
Oldham,Carey,8,S,F,2,O,,,
Oldham,Carey,6,S,F,2,O,,,
Oldham,OP,2,H,S,3,S,,,
Oldham,OP,7,S,O,2,O,,,
Oldham,OP,3,H,S,4,O,,,
Oldham,OP,6,S,O,2,O,,,
Oldham,Taylor,3,H,O,1,O,,,
Oldham,OP,7,S,O,2,O,,,
Oldham,Sarcevic,4,S,D,3,O,,,
Oldham,OP,6,S,O,2,O,,,
Blackburn,OP,6,S,O,2,O,,,
Blackburn,Bradley,3,H,S,4,O,,,
Blackburn,OP,3,H,S,4,S,,,
Blackburn,Lameiras,3,S,S,2,G,,,
Blackburn,Taylor,3,S,C,2,G,,,
Blackburn,OP,3,H,O,3,S,,,
Blackburn,OP,6,W,O,2,S,,,
Blackburn,OP,6,S,O,2,O,,,
Blackburn,OP,3,H,O,3,S,,,
Blackburn,OP,4,S,S,2,O,,,
Blackburn,Songo'o,1,H,S,1,O,,,
Blackburn,Songo'o,3,H,S,3,O,,,
Blackburn,Vyner,3,S,S,3,S,,,
Blackburn,OP,3,H,S,4,O,,,
Shrewsbury,OP,2,S,C,1,G,,,
Shrewsbury,Bradley,3,H,S,4,O,,,
Shrewsbury,Carey,3,S,P,1,S,,,
Shrewsbury,OP,5,W,O,3,S,,,
Shrewsbury,Ness,3,S,O,1,G,,,
Shrewsbury,OP,3,S,S,2,S,,,
Shrewsbury,Ness,6,S,O,2,O,,,
Shrewsbury,Bradley,1,S,S,3,O,,,
Shrewsbury,Vyner,1,S,S,5,G,,,
Shrewsbury,OP,2,H,O,2,S,,,
Shrewsbury,Carey,6,S,D,2,O,,,
Shrewsbury,Bradley,3,H,S,3,S,,,
Shrewsbury,OP,3,S,O,4,S,,,
Wimbledon,Carey,6,S,F,2,S,,,
Wimbledon,OP,4,S,O,2,W,,,
Wimbledon,OP,6,S,R,2,O,,,
Wimbledon,Carey,6,S,C,2,S,,,
Wimbledon,Carey,3,W,C,1,G,,,
Wimbledon,Taylor,2,S,O,2,O,,,
Wimbledon,OP,3,H,O,3,S,,,
Wimbledon,OP,5,S,O,1,G,,,
Wimbledon,Carey,4,S,O,3,S,,,
Wimbledon,Bradley,3,H,S,4,O,,,
Wimbledon,OP,4,W,O,4,S,,,
Wimbledon,OP,3,H,O,2,O,,,
Wimbledon,Taylor,3,H,S,3,O,,,
Wimbledon,Carey,6,S,O,2,O,,,
Wimbledon,Fox,6,S,S,2,G,,,
Wimbledon,Bradley,1,S,S,1,O,,,
Wimbledon,Fox,6,S,F,2,S,,,
Wimbledon,Taylor,1,S,R,1,G,,,
Wimbledon,Carey,8,S,F,2,S,,,
Wimbledon,Lameiras,4,S,O,1,G,,,
Wimbledon,OP,3,S,P,1,S,,,
Wimbledon,Sarcevic,2,S,O,1,S,,,
Wimbledon,OP,3,H,O,3,S,,,
Wimbledon,Lameiras,3,W,D,2,O,,,
Wimbledon,OP,4,H,S,4,S,,,
Wimbledon,OP,3,W,O,3,O,,,
Oxford,OP,4,S,O,2,O,,,
Oxford,Sarcevic,3,S,O,2,O,,,
Oxford,OP,3,W,O,2,S,,,
Oxford,Carey,2,S,O,1,S,,,
Oxford,OP,3,S,O,1,O,,,
Oxford,OP,3,H,O,2,O,,,
Oxford,Bradley,2,H,S,4,G,,,
Oxford,OP,3,H,O,2,S,,,
Oxford,OP,6,S,O,2,O,,,
Oxford,OP,6,S,O,2,O,,,
Oxford,OP,6,S,O,2,S,,,
Oxford,OP,3,H,O,1,O,,,
Oxford,OP,4,S,O,2,O,,,
Oxford,OP,6,S,O,2,O,,,
Oxford,Taylor,3,S,O,1,W,,,
Oxford,Taylor,5,W,D,1,S,,,
Oxford,OP,3,H,S,4,S,,,
Oxford,Ness,3,S,O,2,O,,,
Oxford,OP,2,S,D,1,S,,,
Oxford,OP,6,S,O,2,O,,,
Oxford,OP,4,S,O,3,S,,,
Oxford,OP,6,S,O,2,O,,,
Oxford,OP,2,W,S,3,O,,,
Oxford,OP,6,S,O,2,O,,,
Bradford,Lameiras,6,S,D,2,S,,,
Bradford,OP,6,S,O,2,S,,,
Bradford,OP,3,S,O,2,S,,,
Bradford,Sarcevic,4,S,O,2,G,,,
Bradford,Lameiras,3,S,O,2,O,,,
Bradford,Carey,4,S,D,4,O,,,
Bradford,OP,3,H,S,4,S,,,
Bradford,Taylor,3,S,S,3,O,,,
Bradford,Bradley,3,H,S,4,O,,,
Bradford,OP,3,S,O,1,O,,,
Bradford,Ness,4,S,C,1,O,,,
Fleetwood,Fox,6,S,O,2,O,,,
Fleetwood,Fox,6,S,O,2,O,,,
Fleetwood,OP,3,S,O,1,O,,,
Fleetwood,OP,6,S,S,2,O,,,
Fleetwood,OP,6,W,O,4,O,,,
Fleetwood,Makasi,6,S,C,1,G,,,
Fleetwood,Lameiras,3,S,O,2,O,,,
Fleetwood,Carey,6,S,O,2,S,,,
Fleetwood,OP,3,S,O,3,O,,,
Fleetwood,Carey,5,S,D,2,O,,,
Fleetwood,OP,3,S,O,1,O,,,
Fleetwood,OP,5,S,O,3,S,,,
Fleetwood,OP,5,S,S,2,S,,,
Fleetwood,OP,6,S,R,2,O,,,
Fleetwood,OP,3,S,O,1,G,,,
Fleetwood,OP,6,W,O,2,O,,,
Fleetwood,OP,8,S,O,2,O,,,
Fleetwood,Threlkeld,4,S,O,3,O,,,
Fleetwood,Carey,6,S,O,2,S,,,
Bristol Rovers,Ness,2,H,S,4,O,,,
Bristol Rovers,OP,6,S,F,2,G,,,
Bristol Rovers,OP,6,S,D,2,S,,,
Bristol Rovers,OP,3,H,S,3,S,,,
Bristol Rovers,Ness,3,H,S,3,G,,,
Bristol Rovers,OP,5,W,O,1,G,,,
Bristol Rovers,Carey,7,S,O,2,S,,,
Bristol Rovers,Lameiras,3,S,P,1,S,,,
Bristol Rovers,Ness,8,S,O,2,G,,,
Bristol Rovers,OP,1,H,S,4,O,,,
Bristol Rovers,Ness,6,S,O,2,O,,,
Bristol Rovers,Taylor,3,S,O,4,O,,,
Bristol Rovers,OP,5,S,O,2,S,,,
Bristol Rovers,OP,4,W,R,2,O,,,
Bristol Rovers,Ness,4,S,O,2,O,,,
Bristol Rovers,OP,3,O,S,1,S,,,
Bristol Rovers,Carey,3,S,P,1,G,,,
Bristol Rovers,OP,3,W,O,2,O,,,
Charlton,OP,8,S,S,2,O,,,
Charlton,OP,4,S,D,2,S,,,
Charlton,OP,6,S,O,2,G,,,
Charlton,Taylor,3,S,O,3,S,,,
Charlton,OP,3,H,O,2,G,,,
Charlton,OP,2,H,S,4,S,,,
Charlton,Carey,4,S,O,2,O,,,
Charlton,Songo'o,3,H,S,3,O,,,
Charlton,Carey,7,S,F,2,O,,,
Charlton,OP,4,W,S,2,S,,,
Charlton,Carey,7,S,O,2,O,,,
Charlton,OP,3,S,O,4,O,,,
Charlton,Taylor-Sinclair,5,S,O,2,O,,,
Charlton,OP,7,S,O,2,O,,,
Charlton,OP,5,W,O,2,O,,,
Charlton,OP,5,W,O,2,S,,,
Charlton,Carey,6,S,S,2,O,,,
Charlton,OP,6,W,O,2,O,,,
Charlton,OP,4,S,O,1,O,,,
Charlton,Ness,6,S,R,2,S,,,
Southend,Lameiras,4,S,O,2,O,,,
Southend,Lameiras,3,S,O,2,G,,,
Southend,OP,6,S,O,2,O,,,
Southend,Carey,6,S,O,2,O,,,
Southend,OP,5,W,O,2,O,,,
Southend,OP,6,S,O,2,S,,,
Southend,OP,3,W,R,1,O,,,
Southend,Carey,6,S,O,2,G,,,
Southend,Lameiras,5,S,O,2,O,,,
Southend,Carey,3,S,O,2,G,,,
Southend,OP,6,S,O,2,O,,,
Southend,OP,3,H,S,3,O,,,
Southend,Lameiras,3,S,O,2,O,,,
Southend,Carey,6,S,F,2,S,,,
Southend,Bradley,4,H,S,3,S,,,
Southend,OP,3,H,C,4,S,,,
Southend,OP,6,S,O,3,O,,,
Southend,Carey,3,S,P,1,W,,,
Southend,Songo'o,1,S,S,1,O,,,
Southend,OP,3,S,O,4,S,,,
Southend,OP,6,S,O,2,O,,,
Southend,J. Grant,3,W,C,1,S,,,
Southend,Lameiras,3,W,R,1,G,,,
Southend,OP,6,S,F,2,S,,,
Peterborough,OP,6,S,O,2,G,,,
Peterborough,OP,3,H,O,3,O,,,
Peterborough,Bradley,7,S,O,2,O,,,
Peterborough,OP,3,W,O,2,O,,,
Peterborough,Taylor,2,H,O,3,G,,,
Peterborough,OP,4,H,S,4,O,,,
Peterborough,OP,6,S,O,2,O,,,
Peterborough,Bradley,2,H,S,3,O,,,
Peterborough,Lameiras,6,S,D,4,O,,,
Peterborough,Vyner,5,S,S,2,O,,,
Peterborough,Lameiras,4,S,O,3,S,,,
Peterborough,Makasi,3,S,O,2,O,,,
Peterborough,Taylor,3,H,O,4,O,,,
Peterborough,J. Grant,4,W,O,1,S,,,
Peterborough,Carey,3,S,P,1,G,,,
Peterborough,Lameiras,4,S,O,1,S,,,
Peterborough,Lameiras,6,S,O,2,O,,,
